Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Run Cadence,Max Run Cadence,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Trail Running,2021-07-04 19:14:44,false,"Camogli Trail Running","4.86","197","01:00:19","94","117","--","104","227","12:25","10:12","49","56","0.77","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","28.0","0:00","No","01:00:19.49.7","1","32.0","--","--","--","00:57:23","01:53:27","213","259"
Trail Running,2021-07-03 07:21:16,false,"Camogli Trail Running","4.03","181","00:49:24","100","124","--","111","153","12:15","9:09","17","270","0.74","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","27.0","0:00","No","49:23.90.8","1","30.0","--","--","--","00:47:17","01:07:33","-4","259"
Treadmill Running,2023-01-19 06:04:41,false,"Treadmill Running","5.63","326","00:45:12","128","135","2.1","161","164","8:01","7:25","--","--","0.78","10.6","8.4","303","50.5% L / 49.5% R","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","30.0","0:00","No","05:14.81.2","6","31.0","32","15","40","00:45:10","00:45:12","--","--"
Treadmill Running,2022-10-14 05:35:05,false,"Treadmill Running","6.45","362","00:53:23","128","135","2.1","157","161","8:16","7:32","--","--","1.21","7.0","8.8","317","50.6% L / 49.4% R","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","29.0","0:00","No","03:41.45.5","7","31.0","28","20","38","00:53:21","00:53:23","--","--"
Treadmill Running,2022-10-13 08:45:57,false,"Recovery","6.44","348","00:52:15","129","136","2.1","154","158","8:07","6:31","--","--","1.20","6.7","8.3","334","50.4% L / 49.6% R","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","29.0","0:00","No","06:47.81.7","7","31.0","25","18","33","00:51:56","00:52:15","--","--"
Running,2022-12-13 06:00:29,false,"Chiang Mai Running","3.26","191","00:22:51","124","136","2.3","164","176","7:00","6:20","11","5","0.88","8.6","7.7","307","50.4% L / 49.6% R","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","26.0","0:00","No","01:58.50.1","4","31.0","37","18","45","00:22:32","00:22:51","324","330"
Treadmill Running,2022-10-25 06:30:24,false,"Treadmill Running","5.00","295","00:40:01","132","140","2.2","160","163","8:00","7:00","--","--","1.19","7.4","9.0","314","50.1% L / 49.9% R","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","26.0","0:00","No","02:10.98.5","6","29.0","28","21","38","00:40:00","00:40:01","--","--"
Running,2021-10-16 10:43:13,false,"Kaiserslautern Walking","6.74","346","01:33:48","101","141","--","88","156","13:55","8:23","47","60","0.74","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","21.0","0:00","No","02:10.29.1","7","26.0","--","--","--","01:25:35","02:37:38","257","277"
Treadmill Running,2022-09-12 16:09:32,false,"Treadmill Running","4.02","261","00:32:04","134","141","2.2","152","248","7:58","7:27","--","--","1.42","5.8","8.6","340","51.2% L / 48.8% R","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","27.0","0:00","No","06:16.10.1","4","31.0","30","18","40","00:31:57","00:32:04","--","--"
Trail Running,2022-11-26 06:57:46,false,"Frankenstein Trail Running","10.67","679","01:39:54","127","141","2.7","129","212","9:22","5:26","583","578","0.80","10.9","8.6","346","50.3% L / 49.7% R","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","11.0","0:00","No","04:55.43.4","11","28.0","33","19","44","01:39:11","01:41:52","271","476"
Treadmill Running,2023-01-25 07:42:48,false,"Treadmill Running","6.00","393","00:45:16","133","142","2.7","154","159","7:32","8:35","180","--","0.66","11.9","8.0","334","50.7% L / 49.3% R","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","25.0","0:00","No","05:58.76.5","5","29.0","30","20","41","00:45:16","00:45:16","--","--"
Running,2022-08-01 06:01:59,false,"Kaiserslautern - AE1. Easy Run 30min HR.","5.02","291","00:37:38","134","142","2.3","157","164","7:30","6:02","47","43","0.85","9.4","8.1","320","50.3% L / 49.7% R","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","22.0","0:00","No","00:13.78.2","6","30.0","29","20","40","00:37:38","00:37:40","242","252"
Running,2022-07-01 06:33:28,false,"Landstuhl Running","3.31","192","00:21:48","132","143","2.5","169","177","6:36","6:16","16","14","0.90","8.3","7.6","296","51.1% L / 48.9% R","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","16.0","0:00","No","01:58.65.6","4","25.0","32","19","43","00:21:35","00:22:32","377","383"
Treadmill Running,2022-03-12 06:58:04,false,"Treadmill Running","1.24","128","00:15:04","136","143","2.1","120","163","12:12","7:42","--","--","0.68","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","27.0","0:00","No","03:40.55","2","29.0","--","--","--","00:12:16","00:15:04","--","--"
Treadmill Running,2022-10-26 06:44:56,false,"Treadmill Running","10.04","543","01:25:26","134","143","2.4","156","161","8:30","7:07","--","--","1.05","7.4","8.0","333","50.6% L / 49.4% R","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","26.0","0:00","No","05:25.91.1","11","30.0","23","16","31","01:25:13","01:26:48","--","--"
Treadmill Running,2023-01-08 18:47:13,false,"Treadmill Running","0.89","105","00:12:50","130","144","1.8","97","161","14:25","8:40","--","--","1.16","6.7","8.0","565","49.4% L / 50.6% R","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","26.0","0:00","No","12:49.76.5","1","28.0","32","27","36","00:12:13","00:13:05","--","--"
Treadmill Running,2022-12-12 06:12:48,false,"Treadmill Running","4.02","238","00:34:37","128","144","2.0","155","158","8:36","7:04","--","--","0.73","11.6","8.6","322","50.4% L / 49.6% R","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","31.0","0:00","No","02:40.19.4","5","33.0","28","18","39","00:34:08","00:34:37","--","--"
Trail Running,2022-12-17 10:56:37,false,"Kaiserslautern Trail Running","8.30","463","00:54:17","133","144","3.1","167","190","6:32","5:08","158","147","0.92","8.3","7.7","289","49.8% L / 50.2% R","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","5.0","0:00","No","01:44.65.2","9","25.0","34","13","43","00:54:10","00:55:05","266","350"
Trail Running,2022-05-22 06:21:55,false,"Oy-Mittelberg Trail Running","12.97","752","01:28:39","134","145","3.3","166","180","6:50","5:51","140","134","0.88","8.9","7.9","304","51.3% L / 48.7% R","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","12.0","0:00","No","06:23.23.4","13","25.0","34","19","45","01:28:24","01:33:31","872","943"
